"sp","rho","X_1","X_2","X_3","X_4","X_5","X_6","X_7","X_8","X_9","X_10","vlag_1","vlag_2","vlag_3","vlag_4","vlag_5","vlag_6","vlag_7","vlag_8","vlag_9","vlag_10"
1,0.643203156849921,1,2,3,1,NA,NA,NA,NA,NA,NA,1,2,1,2,NA,NA,NA,NA,NA,NA
1,0.643203156849921,1,2,3,1,NA,NA,NA,NA,NA,NA,1,2,1,2,NA,NA,NA,NA,NA,NA
1,0.643203156849921,1,2,1,3,NA,NA,NA,NA,NA,NA,1,2,2,1,NA,NA,NA,NA,NA,NA
1,0.643203156849921,1,2,1,3,NA,NA,NA,NA,NA,NA,1,2,2,1,NA,NA,NA,NA,NA,NA
1,0.643203156849921,1,3,1,2,NA,NA,NA,NA,NA,NA,1,1,2,2,NA,NA,NA,NA,NA,NA
1,0.643203156849921,1,1,3,2,NA,NA,NA,NA,NA,NA,1,2,1,2,NA,NA,NA,NA,NA,NA
1,0.643203156849921,1,3,2,1,NA,NA,NA,NA,NA,NA,1,1,2,2,NA,NA,NA,NA,NA,NA
1,0.643203156849921,1,1,2,3,NA,NA,NA,NA,NA,NA,1,2,2,1,NA,NA,NA,NA,NA,NA
1,0.643203156849921,1,1,2,3,NA,NA,NA,NA,NA,NA,1,2,2,1,NA,NA,NA,NA,NA,NA
1,0.643203156849921,1,3,1,2,NA,NA,NA,NA,NA,NA,1,1,2,2,NA,NA,NA,NA,NA,NA
1,0.643203156849921,1,1,2,3,NA,NA,NA,NA,NA,NA,1,2,2,1,NA,NA,NA,NA,NA,NA
1,0.643203156849921,1,1,3,2,NA,NA,NA,NA,NA,NA,1,2,1,2,NA,NA,NA,NA,NA,NA
1,0.643203156849921,1,3,1,2,NA,NA,NA,NA,NA,NA,1,1,2,2,NA,NA,NA,NA,NA,NA
1,0.643203156849921,1,2,3,1,NA,NA,NA,NA,NA,NA,1,2,1,2,NA,NA,NA,NA,NA,NA
1,0.643203156849921,1,1,3,2,NA,NA,NA,NA,NA,NA,1,2,1,2,NA,NA,NA,NA,NA,NA
1,0.643203156849921,1,2,3,1,NA,NA,NA,NA,NA,NA,1,2,1,2,NA,NA,NA,NA,NA,NA
1,0.643203156849921,1,2,1,3,NA,NA,NA,NA,NA,NA,1,2,2,1,NA,NA,NA,NA,NA,NA
1,0.643203156849921,1,3,1,2,NA,NA,NA,NA,NA,NA,1,1,2,2,NA,NA,NA,NA,NA,NA
1,0.643203156849921,1,3,2,1,NA,NA,NA,NA,NA,NA,1,1,2,2,NA,NA,NA,NA,NA,NA
1,0.643203156849921,1,3,2,1,NA,NA,NA,NA,NA,NA,1,1,2,2,NA,NA,NA,NA,NA,NA
1,0.643203156849921,1,1,3,2,NA,NA,NA,NA,NA,NA,1,2,1,2,NA,NA,NA,NA,NA,NA
1,0.643203156849921,1,2,3,1,NA,NA,NA,NA,NA,NA,1,2,1,2,NA,NA,NA,NA,NA,NA
1,0.643203156849921,1,1,2,3,NA,NA,NA,NA,NA,NA,1,2,2,1,NA,NA,NA,NA,NA,NA
1,0.643203156849921,1,1,2,3,NA,NA,NA,NA,NA,NA,1,2,2,1,NA,NA,NA,NA,NA,NA
1,0.643203156849921,1,2,3,1,NA,NA,NA,NA,NA,NA,1,2,1,2,NA,NA,NA,NA,NA,NA
1,0.643203156849921,1,2,3,1,NA,NA,NA,NA,NA,NA,1,2,1,2,NA,NA,NA,NA,NA,NA
1,0.643203156849921,1,3,1,2,NA,NA,NA,NA,NA,NA,1,1,2,2,NA,NA,NA,NA,NA,NA
1,0.643203156849921,1,1,2,3,NA,NA,NA,NA,NA,NA,1,2,2,1,NA,NA,NA,NA,NA,NA
1,0.643203156849921,1,3,2,1,NA,NA,NA,NA,NA,NA,1,1,2,2,NA,NA,NA,NA,NA,NA
1,0.643203156849921,1,3,2,1,NA,NA,NA,NA,NA,NA,1,1,2,2,NA,NA,NA,NA,NA,NA
1,0.643203156849921,1,2,1,3,NA,NA,NA,NA,NA,NA,1,2,2,1,NA,NA,NA,NA,NA,NA
1,0.643203156849921,1,3,1,2,NA,NA,NA,NA,NA,NA,1,1,2,2,NA,NA,NA,NA,NA,NA
1,0.643203156849921,1,3,1,2,NA,NA,NA,NA,NA,NA,1,1,2,2,NA,NA,NA,NA,NA,NA
1,0.643203156849921,1,1,2,3,NA,NA,NA,NA,NA,NA,1,2,2,1,NA,NA,NA,NA,NA,NA
1,0.643203156849921,1,2,3,1,NA,NA,NA,NA,NA,NA,1,2,1,2,NA,NA,NA,NA,NA,NA
1,0.643203156849921,1,3,2,1,NA,NA,NA,NA,NA,NA,1,1,2,2,NA,NA,NA,NA,NA,NA
1,0.643203156849921,1,2,3,1,NA,NA,NA,NA,NA,NA,1,2,1,2,NA,NA,NA,NA,NA,NA
1,0.643203156849921,1,1,3,2,NA,NA,NA,NA,NA,NA,1,2,1,2,NA,NA,NA,NA,NA,NA
1,0.643203156849921,1,1,3,2,NA,NA,NA,NA,NA,NA,1,2,1,2,NA,NA,NA,NA,NA,NA
1,0.643203156849921,1,1,2,3,NA,NA,NA,NA,NA,NA,1,2,2,1,NA,NA,NA,NA,NA,NA
1,0.643203156849921,1,1,3,2,NA,NA,NA,NA,NA,NA,1,2,1,2,NA,NA,NA,NA,NA,NA
1,0.643203156849921,1,1,3,2,NA,NA,NA,NA,NA,NA,1,2,1,2,NA,NA,NA,NA,NA,NA
1,0.643203156849921,1,2,1,3,NA,NA,NA,NA,NA,NA,1,2,2,1,NA,NA,NA,NA,NA,NA
1,0.643203156849921,1,3,1,2,NA,NA,NA,NA,NA,NA,1,1,2,2,NA,NA,NA,NA,NA,NA
1,0.643203156849921,1,3,1,2,NA,NA,NA,NA,NA,NA,1,1,2,2,NA,NA,NA,NA,NA,NA
1,0.643203156849921,1,3,2,1,NA,NA,NA,NA,NA,NA,1,1,2,2,NA,NA,NA,NA,NA,NA
1,0.643203156849921,1,1,3,2,NA,NA,NA,NA,NA,NA,1,2,1,2,NA,NA,NA,NA,NA,NA
1,0.643203156849921,1,2,1,3,NA,NA,NA,NA,NA,NA,1,2,2,1,NA,NA,NA,NA,NA,NA
1,0.643203156849921,1,2,1,3,NA,NA,NA,NA,NA,NA,1,2,2,1,NA,NA,NA,NA,NA,NA
1,0.643203156849921,1,3,2,1,NA,NA,NA,NA,NA,NA,1,1,2,2,NA,NA,NA,NA,NA,NA
1,0.643203156849921,1,3,1,2,NA,NA,NA,NA,NA,NA,1,1,2,2,NA,NA,NA,NA,NA,NA
1,0.643203156849921,1,2,3,1,NA,NA,NA,NA,NA,NA,1,2,1,2,NA,NA,NA,NA,NA,NA
1,0.643203156849921,1,3,2,1,NA,NA,NA,NA,NA,NA,1,1,2,2,NA,NA,NA,NA,NA,NA
1,0.643203156849921,1,2,3,1,NA,NA,NA,NA,NA,NA,1,2,1,2,NA,NA,NA,NA,NA,NA
1,0.643203156849921,1,2,1,3,NA,NA,NA,NA,NA,NA,1,2,2,1,NA,NA,NA,NA,NA,NA
1,0.643203156849921,1,2,3,1,NA,NA,NA,NA,NA,NA,1,2,1,2,NA,NA,NA,NA,NA,NA
1,0.643203156849921,1,2,1,3,NA,NA,NA,NA,NA,NA,1,2,2,1,NA,NA,NA,NA,NA,NA
1,0.643203156849921,1,3,2,1,NA,NA,NA,NA,NA,NA,1,1,2,2,NA,NA,NA,NA,NA,NA
1,0.643203156849921,1,3,1,2,NA,NA,NA,NA,NA,NA,1,1,2,2,NA,NA,NA,NA,NA,NA
1,0.643203156849921,1,1,3,2,NA,NA,NA,NA,NA,NA,1,2,1,2,NA,NA,NA,NA,NA,NA
1,0.643203156849921,1,3,2,1,NA,NA,NA,NA,NA,NA,1,1,2,2,NA,NA,NA,NA,NA,NA
1,0.643203156849921,1,2,1,3,NA,NA,NA,NA,NA,NA,1,2,2,1,NA,NA,NA,NA,NA,NA
1,0.643203156849921,1,3,1,2,NA,NA,NA,NA,NA,NA,1,1,2,2,NA,NA,NA,NA,NA,NA
1,0.643203156849921,1,2,3,1,NA,NA,NA,NA,NA,NA,1,2,1,2,NA,NA,NA,NA,NA,NA
1,0.643203156849921,1,2,3,1,NA,NA,NA,NA,NA,NA,1,2,1,2,NA,NA,NA,NA,NA,NA
1,0.643203156849921,1,3,1,2,NA,NA,NA,NA,NA,NA,1,1,2,2,NA,NA,NA,NA,NA,NA
1,0.643203156849921,1,3,2,1,NA,NA,NA,NA,NA,NA,1,1,2,2,NA,NA,NA,NA,NA,NA
1,0.643203156849921,1,2,3,1,NA,NA,NA,NA,NA,NA,1,2,1,2,NA,NA,NA,NA,NA,NA
1,0.643203156849921,1,2,3,1,NA,NA,NA,NA,NA,NA,1,2,1,2,NA,NA,NA,NA,NA,NA
1,0.643203156849921,1,2,1,3,NA,NA,NA,NA,NA,NA,1,2,2,1,NA,NA,NA,NA,NA,NA
1,0.643203156849921,1,2,1,3,NA,NA,NA,NA,NA,NA,1,2,2,1,NA,NA,NA,NA,NA,NA
1,0.643203156849921,1,3,2,1,NA,NA,NA,NA,NA,NA,1,1,2,2,NA,NA,NA,NA,NA,NA
1,0.643203156849921,1,2,1,3,NA,NA,NA,NA,NA,NA,1,2,2,1,NA,NA,NA,NA,NA,NA
1,0.643203156849921,1,1,2,3,NA,NA,NA,NA,NA,NA,1,2,2,1,NA,NA,NA,NA,NA,NA
1,0.643203156849921,1,3,2,1,NA,NA,NA,NA,NA,NA,1,1,2,2,NA,NA,NA,NA,NA,NA
1,0.643203156849921,1,3,2,1,NA,NA,NA,NA,NA,NA,1,1,2,2,NA,NA,NA,NA,NA,NA
1,0.643203156849921,1,1,3,2,NA,NA,NA,NA,NA,NA,1,2,1,2,NA,NA,NA,NA,NA,NA
1,0.643203156849921,1,2,1,3,NA,NA,NA,NA,NA,NA,1,2,2,1,NA,NA,NA,NA,NA,NA
1,0.643203156849921,1,1,3,2,NA,NA,NA,NA,NA,NA,1,2,1,2,NA,NA,NA,NA,NA,NA
1,0.643203156849921,1,1,2,3,NA,NA,NA,NA,NA,NA,1,2,2,1,NA,NA,NA,NA,NA,NA
1,0.643203156849921,1,2,1,3,NA,NA,NA,NA,NA,NA,1,2,2,1,NA,NA,NA,NA,NA,NA
1,0.643203156849921,1,3,2,1,NA,NA,NA,NA,NA,NA,1,1,2,2,NA,NA,NA,NA,NA,NA
1,0.643203156849921,1,2,3,1,NA,NA,NA,NA,NA,NA,1,2,1,2,NA,NA,NA,NA,NA,NA
1,0.643203156849921,1,3,1,2,NA,NA,NA,NA,NA,NA,1,1,2,2,NA,NA,NA,NA,NA,NA
1,0.643203156849921,1,3,1,2,NA,NA,NA,NA,NA,NA,1,1,2,2,NA,NA,NA,NA,NA,NA
1,0.643203156849921,1,3,2,1,NA,NA,NA,NA,NA,NA,1,1,2,2,NA,NA,NA,NA,NA,NA
1,0.643203156849921,1,3,2,1,NA,NA,NA,NA,NA,NA,1,1,2,2,NA,NA,NA,NA,NA,NA
1,0.643203156849921,1,1,3,2,NA,NA,NA,NA,NA,NA,1,2,1,2,NA,NA,NA,NA,NA,NA
1,0.643203156849921,1,3,2,1,NA,NA,NA,NA,NA,NA,1,1,2,2,NA,NA,NA,NA,NA,NA
1,0.643203156849921,1,3,2,1,NA,NA,NA,NA,NA,NA,1,1,2,2,NA,NA,NA,NA,NA,NA
1,0.643203156849921,1,1,2,3,NA,NA,NA,NA,NA,NA,1,2,2,1,NA,NA,NA,NA,NA,NA
1,0.643203156849921,1,3,1,2,NA,NA,NA,NA,NA,NA,1,1,2,2,NA,NA,NA,NA,NA,NA
1,0.643203156849921,1,3,2,1,NA,NA,NA,NA,NA,NA,1,1,2,2,NA,NA,NA,NA,NA,NA
1,0.643203156849921,1,3,2,1,NA,NA,NA,NA,NA,NA,1,1,2,2,NA,NA,NA,NA,NA,NA
1,0.643203156849921,1,2,3,1,NA,NA,NA,NA,NA,NA,1,2,1,2,NA,NA,NA,NA,NA,NA
1,0.643203156849921,1,1,2,3,NA,NA,NA,NA,NA,NA,1,2,2,1,NA,NA,NA,NA,NA,NA
1,0.643203156849921,1,1,3,2,NA,NA,NA,NA,NA,NA,1,2,1,2,NA,NA,NA,NA,NA,NA
1,0.643203156849921,1,2,1,3,NA,NA,NA,NA,NA,NA,1,2,2,1,NA,NA,NA,NA,NA,NA
1,0.643203156849921,1,2,1,3,NA,NA,NA,NA,NA,NA,1,2,2,1,NA,NA,NA,NA,NA,NA
1,0.643203156849921,1,3,1,2,NA,NA,NA,NA,NA,NA,1,1,2,2,NA,NA,NA,NA,NA,NA
2,0.683766562258485,2,2,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA
2,0.683766562258485,2,2,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA
2,0.683766562258485,2,2,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA
2,0.683766562258485,2,2,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA
2,0.683766562258485,2,2,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA
2,0.683766562258485,2,2,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA
2,0.683766562258485,2,2,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA
2,0.683766562258485,2,2,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA
2,0.683766562258485,2,2,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA
2,0.683766562258485,2,2,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA
2,0.683766562258485,2,2,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA
2,0.683766562258485,2,2,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA
2,0.683766562258485,2,2,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA
2,0.683766562258485,2,2,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA
2,0.683766562258485,2,2,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA
2,0.683766562258485,2,2,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA
2,0.683766562258485,2,2,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA
2,0.683766562258485,2,2,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA
2,0.683766562258485,2,2,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA
2,0.683766562258485,2,2,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA
2,0.683766562258485,2,2,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA
2,0.683766562258485,2,2,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA
2,0.683766562258485,2,2,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA
2,0.683766562258485,2,2,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA
2,0.683766562258485,2,2,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA
2,0.683766562258485,2,2,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA
2,0.683766562258485,2,2,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA
2,0.683766562258485,2,2,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA
2,0.683766562258485,2,2,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA
2,0.683766562258485,2,2,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA
2,0.683766562258485,2,2,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA
2,0.683766562258485,2,2,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA
2,0.683766562258485,2,2,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA
2,0.683766562258485,2,2,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA
2,0.683766562258485,2,2,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA
2,0.683766562258485,2,2,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA
2,0.683766562258485,2,2,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA
2,0.683766562258485,2,2,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA
2,0.683766562258485,2,2,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA
2,0.683766562258485,2,2,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA
2,0.683766562258485,2,2,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA
2,0.683766562258485,2,2,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA
2,0.683766562258485,2,2,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA
2,0.683766562258485,2,2,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA
2,0.683766562258485,2,2,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA
2,0.683766562258485,2,2,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA
2,0.683766562258485,2,2,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA
2,0.683766562258485,2,2,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA
2,0.683766562258485,2,2,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA
2,0.683766562258485,2,2,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA
2,0.683766562258485,2,2,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA
2,0.683766562258485,2,2,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA
2,0.683766562258485,2,2,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA
2,0.683766562258485,2,2,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA
2,0.683766562258485,2,2,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA
2,0.683766562258485,2,2,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA
2,0.683766562258485,2,2,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA
2,0.683766562258485,2,2,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA
2,0.683766562258485,2,2,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA
2,0.683766562258485,2,2,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA
2,0.683766562258485,2,2,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA
2,0.683766562258485,2,2,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA
2,0.683766562258485,2,2,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA
2,0.683766562258485,2,2,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA
2,0.683766562258485,2,2,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA
2,0.683766562258485,2,2,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA
2,0.683766562258485,2,2,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA
2,0.683766562258485,2,2,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA
2,0.683766562258485,2,2,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA
2,0.683766562258485,2,2,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA
2,0.683766562258485,2,2,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA
2,0.683766562258485,2,2,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA
2,0.683766562258485,2,2,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA
2,0.683766562258485,2,2,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA
2,0.683766562258485,2,2,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA
2,0.683766562258485,2,2,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA
2,0.683766562258485,2,2,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA
2,0.683766562258485,2,2,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA
2,0.683766562258485,2,2,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA
2,0.683766562258485,2,2,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA
2,0.683766562258485,2,2,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA
2,0.683766562258485,2,2,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA
2,0.683766562258485,2,2,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA
2,0.683766562258485,2,2,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA
2,0.683766562258485,2,2,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA
2,0.683766562258485,2,2,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA
2,0.683766562258485,2,2,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA
